"","District","Street","Area","Num_whole_rooms","Num_half_rooms","Price","Condition","Comfort_lev","Energy_eff","Floor","Floors_in_bdg","Lift","Ceiling_height","Air_conditioning","Furnished","Overhead","Vacant_possession","Min_rental(month)","View_to","Garden","Mechanized","Pets","Smoking","Parking","Year","Balcony","Parking_fee(monthly)"
"1",8," Orczy út 46-48",42,1,NA,99000,"renovated","high",NA,1,2,"No",NA,"Yes","Yes",NA,"immediately","nincs",NA,NA,"Yes","No",NA,"street",NA,NA,NA
"2",13," Frangepán utca",44,1,1,175000,"new","high",NA,5,8,"Yes","less than 3","No","Yes",NA,"immediately","1 év","street","No","Yes","No","No","can rent","2020","2",NA
"3",9," Kinizsi utca",70,3,NA,160000,"like new","very high",NA,3,5,"Yes",NA,NA,"Yes",NA,"immediately","1 év","street","No","Yes",NA,"No","can rent","2001-2010 ",NA,30000
"4",14," Öv utca 133.",43,2,NA,144000,"like new","high","AA+",3,8,"Yes","less than 3",NA,"By arrangement",25000,"not immediately","1 év","panorama",NA,NA,"Yes",NA,"can rent","2012","5",8000
"5",13," Ipoly utca 3.",55,2,NA,185000,"new","high","AA+",5,9,"Yes","less than 3","Yes","By arrangement",25000,"not immediately","1 év","garden",NA,"Yes","Yes","Yes","can rent","2013","11",45000
"6",11," Szentimreváros",110,3,NA,420000,"renovated","very high",NA,3,3,"No","less than 3","Yes","Yes",NA,"immediately","1 év","garden","No","Yes",NA,"No","included",NA,"6",NA
"7",16," Koronafürt utca 44",20,1,NA,80000,"new","high","AA",NA,5,"Yes",NA,"No","Yes",20000,"immediately","5 hónap","yard","Yes","Yes","No","No","included","2019",NA,NA
"8",5," Semmelweis utca 11.",20,1,NA,90000,"new","high","AA",NA,7,"Yes",NA,"No","Yes",20000,"immediately","5 hónap",NA,"No","Yes","No","No",NA,"2017",NA,NA
"9",5," Petofi Sándor utca 17.",42,1,1,349000,"new","high",NA,2,8,"Yes","less than 3",NA,"Yes",70000,"immediately","1 év","yard","No","Yes","No","No","street","2021","10",NA
"10",2," Újlak",73,2,1,240000,"like new","very high",NA,3,5,"Yes","less than 3",NA,"No",NA,"immediately","1 év","street","No","No",NA,"No","street","1981-2000 ",NA,NA
"11",13," Madarász Viktor utca 38.",42,1,1,168750,"new","high",NA,4,8,"Yes",NA,"Yes","Yes",15000,"immediately","1 év",NA,NA,"Yes",NA,NA,NA,"2020","11",NA
"12",13," Röppentyu utca",45,2,NA,140000,"like new","high",NA,2,6,"Yes","less than 3",NA,"Partially",NA,"not immediately","1 év","garden","No","Yes","No","No","street","2001-2010 ","6",NA
"13",11," Szentimreváros",70,3,NA,2e+05,"renovated","high",NA,0.5,2,"No","3 or more","No","No",40000,"immediately","1 év","garden","No","No","No","No","can rent",NA,NA,25000
"14",2," Bécsi út",97,4,NA,425000,"like new","very high",NA,2,6,"Yes","less than 3","Yes","No",NA,"immediately","1 év","street","No","Yes","No","No","must rent","2001-2010 ","15",25000
"15",7," Dohány utca",50,2,NA,120000,"renovated","average",NA,2,4,"No","3 or more","No","Yes",NA,"immediately","1 év","yard","No","Yes","No","No","street","1950 elott",NA,NA
"16",21," Kossuth Lajos utca",55,2,NA,120000,"good","high",NA,NA,10,NA,"less than 3",NA,"Yes",15000,NA,"1 év","street",NA,"Yes","No","No","street",NA,"3",NA
"17",9," Ferenc körút",37,1,1,120000,"renovated","high",NA,1,5,"Yes","3 or more","Yes","No",NA,"immediately","1 év","street","No","Yes",NA,"No","street",NA,NA,NA
"18",11," Alíz utca 6",65,3,NA,240000,"like new",NA,NA,1,6,"Yes",NA,"Yes","Partially",NA,"immediately","1 év","panorama","No","Yes",NA,NA,"included","2019","125",NA
"19",14," Kerepesi út 30.",40,1,NA,120000,"renovated","high",NA,3,3,"No","less than 3","Yes","Yes",15000,"not immediately","1 év","street",NA,"Yes","No",NA,"can rent",NA,NA,20000
"20",13," Futár utca",52,2,NA,160000,"like new",NA,NA,3,4,"Yes",NA,"Yes","Partially",9000,"immediately","1 év","garden",NA,NA,NA,NA,"street","2001-2010 ","13",NA
"21",2," Törökvész út",140,5,NA,520000,"renovated","very high",NA,2,3,"No","less than 3","Yes","No",NA,"not immediately","1 év","panorama","No","Yes",NA,NA,"included",NA,"40",NA
"22",7," Wesselényi utca 9.",75,3,NA,170000,"like new","high",NA,3,NA,"Yes","3 or more","Yes","Yes",70000,"immediately","nincs",NA,"No","Yes","No","No",NA,NA,NA,NA
"23",13," Babér utca 13.",37,2,NA,158000,"new","high",NA,1,8,"Yes","less than 3","Yes","Yes",28000,"immediately","1 év","street","No","Yes",NA,NA,"street","2018","5",NA
"24",13," Madarász Viktor utca",46,2,NA,168000,"new",NA,NA,5,NA,"Yes",NA,"Yes","Yes",20000,NA,"1 év","yard",NA,"Yes",NA,NA,"can rent",NA,"11",20000
"25",7," Belso-Erzsébetváros",75,3,1,155000,"renovated","high",NA,0.5,5,"Yes","3 or more","Yes","No",33000,"immediately","1 év","street","No","Yes","No","No","street","1950-1980 ",NA,NA
"26",7," Dohány utca 57.",68,2,NA,159000,"like new","high",NA,NA,NA,NA,"less than 3","No","Yes",60000,"immediately","nincs","yard","No","Yes","No","No",NA,NA,NA,NA
"27",11," Baranyai tér",30,1,NA,120000,"renovated","high",NA,4,7,"Yes","less than 3","No","No",NA,"not immediately","1 év","street","No","Yes","No","No","street","1950-1980 ",NA,NA
